pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.190922.09-S-CM.PRA.00.HH,2019-12-24 19:09:22.098393,0.46,S,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:11.848393,2019-12-24 19:09:24.008393,0.7,9.0,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190923.52-S-CM.URMC.00.HH,2019-12-24 19:09:23.528393,0.24,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:19.328393,2019-12-24 19:09:23.988393,0.75,8.5,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190930.55-P-CM.GARC.00.HH,2019-12-24 19:09:30.558393,0.04,P,CM,GARC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:29.868393,2019-12-24 19:10:02.748393,0.42,2.5,2.186667,-75.493167,1999.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/GARC/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.190934.52-S-CM.ORTC.00.HH,2019-12-24 19:09:34.528393,0.29,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:18.738393,2019-12-24 19:09:41.248393,0.58,4.0,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190953.57-S-CM.GARC.00.HH,2019-12-24 19:09:53.578393,0.24,S,CM,GARC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:29.868393,2019-12-24 19:10:02.748393,0.42,9.8,2.186667,-75.493167,1999.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/GARC/CM.GARC.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.191018.61-P-CM.CLEJA.10.HN,2019-12-24 19:10:18.610000,0.76,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:18.510000,2019-12-24 19:10:22.520000,0.91,19.2,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191020.77-P-CM.URMC.00.HH,2019-12-24 19:10:20.778393,0.78,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:20.688393,2019-12-24 19:10:26.378393,0.94,23.6,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.191021.33-S-CM.CLEJA.10.HN,2019-12-24 19:10:21.330000,0.68,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:18.510000,2019-12-24 19:10:22.520000,0.91,4.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191024.58-S-CM.URMC.00.HH,2019-12-24 19:10:24.588393,0.62,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:20.688393,2019-12-24 19:10:26.378393,0.94,15.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.191028.92-P-CM.PRA.00.HH,2019-12-24 19:10:28.928393,0.76,P,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:28.898393,2019-12-24 19:10:43.178393,0.96,14.6,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.191035.99-P-CM.ORTC.00.HH,2019-12-24 19:10:35.998393,0.88,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:35.948393,2019-12-24 19:11:04.838393,0.98,2.5,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.191038.13-P-CM.CHI.00.HH,2019-12-24 19:10:38.138394,0.27,P,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:37.798394,2019-12-24 19:11:03.538394,0.88,2.7,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed
20191224.191039.00-S-CM.PRA.00.HH,2019-12-24 19:10:39.008393,0.53,S,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:28.898393,2019-12-24 19:10:43.178393,0.96,11.1,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.191045.31-P-CM.CLEJA.10.HN,2019-12-24 19:10:45.310000,0.48,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:10:45.010000,2019-12-24 19:10:50.200000,0.72,19.2,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.191047.64-S-CM.URMC.00.HH,2019-12-24 19:10:47.648393,0.04,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:10:45.068393,2019-12-24 19:10:47.798393,0.12,15.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
