pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.223415.19-S-CM.CHI.00.HH,2019-12-24 22:34:15.198393,0.5006894,S,CM,CHI,0,HH,PhaseNet,2023-01-18 15:19:55.089205,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_564000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1520,564000,single,CM.CHI.00.HH,47,9.000200971958937e-05
20191224.224743.70-P-CM.URMC.00.HH,2019-12-24 22:47:43.708394,0.97412914,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:56.957385,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_645000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,1371,645000,single,CM.URMC.00.HH,48,0.00018371977650998795
20191224.224747.90-S-CM.URMC.00.HH,2019-12-24 22:47:47.908393,0.4960166,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:03.501368,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_645000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1791,645000,single,CM.URMC.00.HH,48,0.00011716417973286477
20191224.224759.56-P-CM.ORTC.00.HH,2019-12-24 22:47:59.568393,0.6732805,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:19.972007,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1368000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1457,1368000,overlap,CM.ORTC.00.HH,48,0.00021577998186249594
20191224.224801.66-P-CM.CHI.00.HH,2019-12-24 22:48:01.668393,0.8997214,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:18:25.592539,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_648000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,167,648000,single,CM.CHI.00.HH,48,0.0001537969489727168
20191224.224819.44-S-CM.ORTC.00.HH,2019-12-24 22:48:19.448393,0.5065655,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:51.635973,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_1371000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,445,1371000,overlap,CM.ORTC.00.HH,48,0.00018977274686674157
20191224.224821.76-S-CM.CHI.00.HH,2019-12-24 22:48:21.768393,0.44602454,S,CM,CHI,0,HH,PhaseNet,2023-01-18 15:18:29.992124,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1371000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,677,1371000,overlap,CM.CHI.00.HH,48,9.000200971958937e-05
20191224.225406.90-P-CM.URMC.00.HH,2019-12-24 22:54:06.908394,0.97496676,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:04.820556,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1404000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2191,1404000,overlap,CM.URMC.00.HH,49,0.00018371977650998795
20191224.225411.36-S-CM.URMC.00.HH,2019-12-24 22:54:11.368394,0.58809716,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:05.035770,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_1404000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2637,1404000,overlap,CM.URMC.00.HH,49,0.00011716417973286477
20191224.225422.62-P-CM.ORTC.00.HH,2019-12-24 22:54:22.628393,0.8026652,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:42.957936,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_684000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2263,684000,single,CM.ORTC.00.HH,49,0.00021577998186249594
