pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type
20191224.213423.59-P-CM.URMC.0.HH,2019-12-24 21:34:23.598394,0.53195024,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:59.509640,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_927000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,860,927000,overlap
20191224.213425.52-P-CM.FLO2.0.HH,2019-12-24 21:34:25.528393,0.512031,P,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:19:22.328448,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed_204000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,2551,204000,single
20191224.213426.30-P-CM.FLO2.0.HH,2019-12-24 21:34:26.308393,0.45891532,P,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:18:22.939379,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHZ__20191224T210000Z__20191224T230000Z.mseed_204000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,2629,204000,single
20191224.213426.33-S-CM.YOT.0.HH,2019-12-24 21:34:26.338393,0.5557692,S,CM,YOT,0,HH,PhaseNet,2023-01-18 15:19:25.813490,,,,,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.YOT.00.HHN__20191224T210000Z__20191224T230000Z.mseed_927000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,1132,927000,overlap
20191224.213427.56-P-CM.URMC.0.HH,2019-12-24 21:34:27.568393,0.35483417,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:34.121442,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2757,204000,single
20191224.213427.60-S-CM.URMC.0.HH,2019-12-24 21:34:27.608393,0.47553647,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:34.344968,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2761,204000,single
20191224.213427.60-S-CM.URMC.0.HH,2019-12-24 21:34:27.608393,0.5563769,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:17:52.048155,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2761,204000,single
20191224.213431.15-P-CM.ORTC.0.HH,2019-12-24 21:34:31.158393,0.3491726,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:09.664402,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_927000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1616,927000,overlap
20191224.213437.78-S-CM.GARC.0.HH,2019-12-24 21:34:37.788393,0.30680704,S,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:31.730334,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,779,207000,single
20191224.213437.84-S-CM.GARC.0.HH,2019-12-24 21:34:37.848393,0.5258354,S,CM,GARC,0,HH,PhaseNet,2023-01-18 15:17:51.581017,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,785,207000,single
20191224.213440.06-S-CM.URMC.0.HH,2019-12-24 21:34:40.068394,0.30202875,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:59.702792,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_927000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2507,927000,overlap
20191224.213440.20-S-CM.URMC.0.HH,2019-12-24 21:34:40.208393,0.67513967,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:08.459256,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_927000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2521,927000,overlap
20191224.213440.45-P-CM.URMC.0.HH,2019-12-24 21:34:40.458393,0.58833456,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:44.180875,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_927000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2546,927000,overlap
20191224.213451.06-S-CM.YOT.0.HH,2019-12-24 21:34:51.068393,0.5983299,S,CM,YOT,0,HH,PhaseNet,2023-01-18 15:18:23.277558,,,,,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.YOT.00.HHE__20191224T210000Z__20191224T230000Z.mseed_207000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,2105,207000,single
20191224.213453.67-P-CM.URMC.0.HH,2019-12-24 21:34:53.678394,0.9709815,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:52.305087,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2368,207000,single
20191224.213453.71-P-CM.URMC.0.HH,2019-12-24 21:34:53.718393,0.8352841,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:34.414621,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2372,207000,single
20191224.213453.74-P-CM.URMC.0.HH,2019-12-24 21:34:53.748393,0.9675405,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:17:52.193219,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2375,207000,single
20191224.213453.86-P-CM.FLO2.0.HH,2019-12-24 21:34:53.868393,0.44807017,P,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:19:22.330887,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed_207000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,2385,207000,single
20191224.213453.97-P-CM.FLO2.0.HH,2019-12-24 21:34:53.978393,0.5186825,P,CM,FLO2,0,HH,PhaseNet,2023-01-18 15:19:21.916818,,,,,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.FLO2.00.HHE__20191224T210000Z__20191224T230000Z.mseed_207000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,2396,207000,single
20191224.213457.45-S-CM.URMC.0.HH,2019-12-24 21:34:57.458394,0.86267865,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:52.561033,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2746,207000,single
20191224.213457.61-S-CM.URMC.0.HH,2019-12-24 21:34:57.618393,0.83191276,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:34.686367,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2762,207000,single
