pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.213153.10-P-CM.URMC.00.HH,2019-12-24 21:31:53.108393,0.04,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:31:53.358393,2019-12-24 21:31:54.788393,0.13,19.6,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213204.79-S-CM.ORTC.00.HH,2019-12-24 21:32:04.798393,0.27,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:31:48.348393,2019-12-24 21:32:11.818393,0.72,3.9,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed
20191224.213236.55-P-CM.URMC.00.HH,2019-12-24 21:32:36.558393,0.8,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:32:36.458393,2019-12-24 21:32:42.138393,0.94,16.9,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213240.41-S-CM.URMC.00.HH,2019-12-24 21:32:40.418393,0.64,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:32:36.458393,2019-12-24 21:32:42.138393,0.94,16.8,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213244.67-P-CM.PRA.00.HH,2019-12-24 21:32:44.678393,0.47,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:32:44.458393,2019-12-24 21:32:58.598393,0.96,7.0,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213254.49-S-CM.PRA.00.HH,2019-12-24 21:32:54.498393,0.65,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:32:44.458393,2019-12-24 21:32:58.598393,0.96,13.5,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213305.52-P-CM.GARC.00.HH,2019-12-24 21:33:05.528393,0.16,P,CM,GARC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:33:04.418393,2019-12-24 21:33:35.198393,0.88,-0.2,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/downloads/GARC/CM.GARC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213310.39-P-CM.YOT.00.HH,2019-12-24 21:33:10.398393,0.23,P,CM,YOT,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:33:09.398393,2019-12-24 21:33:51.088393,0.8,5.4,3.9835,-76.345,1040.0,/home/emmanuel/SeisMonitor/out/downloads/YOT/CM.YOT.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213312.94-P-CM.FLO2.00.HH,2019-12-24 21:33:12.948393,0.04,P,CM,FLO2,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:33:13.008393,2019-12-24 21:33:54.008393,0.21,4.0,1.582667,-75.652667,365.0,/home/emmanuel/SeisMonitor/out/downloads/FLO2/CM.FLO2.00.HHN__20191224T210000Z__20191224T230000Z.mseed
20191224.213326.40-S-CM.GARC.00.HH,2019-12-24 21:33:26.408393,0.46,S,CM,GARC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:33:04.418393,2019-12-24 21:33:35.198393,0.88,8.1,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/downloads/GARC/CM.GARC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
