pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.211729.38-P-CM.URMC.00.HH,2019-12-24 21:17:29.388394,0.98099947,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:29.379925,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_825000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,1439,825000,overlap,CM.URMC.00.HH,9,5.201637313177043e-06
20191224.211733.60-S-CM.URMC.00.HH,2019-12-24 21:17:33.608393,0.7102357,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:44.384134,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_825000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1861,825000,overlap,CM.URMC.00.HH,9,4.428122102475832e-06
20191224.211745.43-P-CM.ORTC.00.HH,2019-12-24 21:17:45.438393,0.9104533,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:05.726742,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_105000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1544,105000,single,CM.ORTC.00.HH,9,5.6457404771063765e-06
20191224.211747.61-P-CM.CHI.00.HH,2019-12-24 21:17:47.618393,0.92973137,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:35.041063,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T205959Z__20191224T225959Z.mseed_828000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,262,828000,overlap,CM.CHI.00.HH,9,7.64358984363595e-06
20191224.211805.63-S-CM.ORTC.00.HH,2019-12-24 21:18:05.638393,0.7318158,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:05.798270,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_108000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,564,108000,single,CM.ORTC.00.HH,9,8.809264191329742e-06
20191224.213453.67-P-CM.URMC.00.HH,2019-12-24 21:34:53.678394,0.9709815,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:26.833633,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,2368,207000,single,CM.URMC.00.HH,10,5.201637313177043e-06
20191224.213457.61-S-CM.URMC.00.HH,2019-12-24 21:34:57.618393,0.83191276,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:41.255940,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_207000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2762,207000,single,CM.URMC.00.HH,10,4.428122102475832e-06
20191224.213508.77-P-CM.ORTC.00.HH,2019-12-24 21:35:08.778393,0.96884906,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:52.473592,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_930000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2378,930000,overlap,CM.ORTC.00.HH,10,5.6457404771063765e-06
20191224.213511.19-P-CM.CHI.00.HH,2019-12-24 21:35:11.198393,0.82090306,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:18.591361,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_930000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2620,930000,overlap,CM.CHI.00.HH,10,7.64358984363595e-06
20191224.213523.84-S-CM.ORTC.00.HH,2019-12-24 21:35:23.848393,0.7541218,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:07.043008,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_210000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2385,210000,single,CM.ORTC.00.HH,10,8.809264191329742e-06
