pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.191924.92-P-CM.ORTC.00.HH,2019-12-24 19:19:24.928393,0.19,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:19:24.368393,2019-12-24 19:19:48.068393,0.39,31.9,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,6,0.0006203639623485591
20191224.191941.36-S-CM.ORTC.00.HH,2019-12-24 19:19:41.368393,0.13,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:19:24.368393,2019-12-24 19:19:48.068393,0.39,11.2,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,6,0.0007655215316410832
20191224.192526.09-P-CM.CLEJA.10.HN,2019-12-24 19:25:26.090000,0.73,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:25:25.930000,2019-12-24 19:25:30.320000,0.34,21.7,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,7,8.137991977191389e-05
20191224.192527.92-P-CM.URMC.00.HH,2019-12-24 19:25:27.928393,0.79,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:25:27.828393,2019-12-24 19:25:33.788393,0.92,17.2,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,7,0.00011894114273385493
20191224.192529.28-S-CM.CLEJA.10.HN,2019-12-24 19:25:29.280000,0.36,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:25:25.930000,2019-12-24 19:25:30.320000,0.34,4.6,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,7,0.00032551780044517455
20191224.192531.81-S-CM.URMC.00.HH,2019-12-24 19:25:31.818393,0.28,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:25:27.828393,2019-12-24 19:25:33.788393,0.92,17.0,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,7,0.000406905130389544
20191224.192542.84-P-CM.ORTC.00.HH,2019-12-24 19:25:42.848393,0.69,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:25:42.718393,2019-12-24 19:26:04.718393,0.67,14.8,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,7,0.0006203639623485591
20191224.192558.25-S-CM.ORTC.00.HH,2019-12-24 19:25:58.258393,0.26,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:25:42.718393,2019-12-24 19:26:04.718393,0.67,6.3,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,7,0.0007655215316410832
20191224.192854.26-P-CM.CLEJA.10.HN,2019-12-24 19:28:54.260000,0.76,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:28:54.140000,2019-12-24 19:28:58.320000,0.75,14.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,8,8.137991977191389e-05
20191224.192854.47-P-CM.URMC.00.HH,2019-12-24 19:28:54.478393,0.48,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:28:54.268393,2019-12-24 19:29:02.518393,0.72,8.8,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,8,0.00011894114273385493
20191224.192857.02-S-CM.CLEJA.10.HN,2019-12-24 19:28:57.020000,0.3,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:28:54.140000,2019-12-24 19:28:58.320000,0.75,7.0,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,8,0.00032551780044517455
20191224.192900.23-S-CM.URMC.00.HH,2019-12-24 19:29:00.238393,0.66,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:28:54.268393,2019-12-24 19:29:02.518393,0.72,6.6,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,8,0.000406905130389544
20191224.192911.02-P-CM.ORTC.00.HH,2019-12-24 19:29:11.028393,0.28,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:29:10.168393,2019-12-24 19:29:32.998393,0.78,1.9,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,8,0.0006203639623485591
20191224.192926.38-S-CM.ORTC.00.HH,2019-12-24 19:29:26.388393,0.26,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:29:10.168393,2019-12-24 19:29:32.998393,0.78,5.8,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,8,0.0007655215316410832
20191224.193153.58-P-CM.CLEJA.10.HN,2019-12-24 19:31:53.580000,0.81,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:31:53.480000,2019-12-24 19:31:57.180000,0.89,26.1,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,9,8.137991977191389e-05
20191224.193155.99-P-CM.URMC.00.HH,2019-12-24 19:31:55.998393,0.76,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:31:55.878393,2019-12-24 19:32:02.248393,0.88,13.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,9,0.00011894114273385493
20191224.193156.01-S-CM.CLEJA.10.HN,2019-12-24 19:31:56.010000,0.6,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:31:53.480000,2019-12-24 19:31:57.180000,0.89,7.1,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,9,0.00032551780044517455
20191224.193200.21-S-CM.URMC.00.HH,2019-12-24 19:32:00.218393,0.46,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:31:55.878393,2019-12-24 19:32:02.248393,0.88,11.4,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,9,0.000406905130389544
20191224.193210.97-P-CM.ORTC.00.HH,2019-12-24 19:32:10.978393,0.72,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:32:10.948393,2019-12-24 19:32:29.988393,0.34,12.0,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,9,0.0006203639623485591
20191224.193226.28-S-CM.ORTC.00.HH,2019-12-24 19:32:26.288393,0.13,S,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:32:10.948393,2019-12-24 19:32:29.988393,0.34,5.1,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,9,0.0007655215316410832
20191224.193301.07-P-CM.CLEJA.10.HN,2019-12-24 19:33:01.070000,0.25,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:33:01.310000,2019-12-24 19:33:04.730000,0.16,30.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,10,8.137991977191389e-05
