pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.214939.13-S-CM.ORTC.00.HH,2019-12-24 21:49:39.138393,0.58,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:49:23.788393,2019-12-24 21:49:45.538393,0.98,8.5,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,22,7.70645104884309e-06
20191224.214946.20-S-CM.CHI.00.HH,2019-12-24 21:49:46.208393,0.02,S,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:49:25.718393,2019-12-24 21:49:53.828393,0.17,0.8,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,22,3.2489015124753175e-06
20191224.220540.40-P-CM.URMC.00.HH,2019-12-24 22:05:40.408393,0.77,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:05:40.218393,2019-12-24 22:05:46.328393,0.47,36.1,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,23,1.965125602997957e-06
20191224.220544.57-S-CM.URMC.00.HH,2019-12-24 22:05:44.578393,0.22,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:05:40.218393,2019-12-24 22:05:46.328393,0.47,7.1,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,23,2.4283749093416853e-06
20191224.220555.89-P-CM.ORTC.00.HH,2019-12-24 22:05:55.898393,0.85,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:05:55.738393,2019-12-24 22:06:17.728393,0.98,20.6,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,23,8.232169860340049e-06
20191224.220557.98-P-CM.CHI.00.HH,2019-12-24 22:05:57.988393,0.89,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:05:57.878393,2019-12-24 22:06:22.468393,0.95,23.8,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,23,1.083986087858577e-05
20191224.220611.29-S-CM.ORTC.00.HH,2019-12-24 22:06:11.298393,0.51,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:05:55.738393,2019-12-24 22:06:17.728393,0.98,5.4,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,23,7.70645104884309e-06
20191224.220614.37-S-CM.CHI.00.HH,2019-12-24 22:06:14.378393,0.29,S,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:05:57.878393,2019-12-24 22:06:22.468393,0.95,2.8,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,23,3.2489015124753175e-06
20191224.222429.85-P-CM.URMC.00.HH,2019-12-24 22:24:29.858393,0.74,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 22:24:29.738393,2019-12-24 22:24:35.788393,0.9,21.2,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,24,1.965125602997957e-06
20191224.222433.89-S-CM.URMC.00.HH,2019-12-24 22:24:33.898393,0.45,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 22:24:29.738393,2019-12-24 22:24:35.788393,0.9,11.0,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,24,2.4283749093416853e-06
